"Notes"	"County"	"County Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Randolph County, GA"	"13243"	79.25	56.34	94.96
	"Richmond County, GA"	"13245"	77.62	55.12	95.59
	"Rockdale County, GA"	"13247"	74.95	53.98	93.99
	"Schley County, GA"	"13249"	77.95	56.46	94.60
	"Screven County, GA"	"13251"	79.00	55.56	96.02
	"Seminole County, GA"	"13253"	80.65	56.98	95.41
	"Spalding County, GA"	"13255"	75.38	54.73	93.84
	"Stephens County, GA"	"13257"	72.90	54.17	93.52
	"Stewart County, GA"	"13259"	78.36	56.41	94.68
	"Sumter County, GA"	"13261"	78.90	56.20	95.25
	"Talbot County, GA"	"13263"	76.70	55.84	94.13
	"Taliaferro County, GA"	"13265"	76.44	54.09	94.92
	"Tattnall County, GA"	"13267"	80.08	56.23	95.49
	"Taylor County, GA"	"13269"	77.64	55.72	94.58
	"Telfair County, GA"	"13271"	79.87	55.76	95.97
	"Terrell County, GA"	"13273"	79.21	56.35	95.22
	"Thomas County, GA"	"13275"	80.20	57.24	94.77
	"Tift County, GA"	"13277"	79.30	57.10	94.75
	"Toombs County, GA"	"13279"	79.75	56.10	95.40
	"Towns County, GA"	"13281"	64.68	48.86	86.91
	"Treutlen County, GA"	"13283"	79.23	55.51	95.71
	"Troup County, GA"	"13285"	75.69	55.40	93.94
	"Turner County, GA"	"13287"	79.11	56.66	94.96
	"Twiggs County, GA"	"13289"	78.06	55.00	95.68
	"Union County, GA"	"13291"	65.75	49.88	87.74
	"Upson County, GA"	"13293"	76.36	55.56	94.34
	"Walker County, GA"	"13295"	71.18	52.58	92.93
	"Walton County, GA"	"13297"	74.85	53.69	93.92
	"Ware County, GA"	"13299"	80.95	57.73	95.18
	"Warren County, GA"	"13301"	77.02	54.27	95.01
	"Washington County, GA"	"13303"	78.02	55.30	95.84
	"Wayne County, GA"	"13305"	80.48	58.07	95.11
	"Webster County, GA"	"13307"	78.60	56.09	94.62
	"Wheeler County, GA"	"13309"	79.86	55.93	95.96
	"White County, GA"	"13311"	69.10	51.75	90.29
	"Whitfield County, GA"	"13313"	72.45	53.51	93.98
	"Wilcox County, GA"	"13315"	79.09	56.31	95.45
	"Wilkes County, GA"	"13317"	76.16	54.20	95.15
	"Wilkinson County, GA"	"13319"	78.20	55.19	95.83
	"Worth County, GA"	"13321"	79.40	56.97	95.01
	"Ada County, ID"	"16001"	61.71	44.68	86.09
	"Adams County, ID"	"16003"	50.64	35.33	81.88
	"Bannock County, ID"	"16005"	52.70	35.76	82.07
	"Bear Lake County, ID"	"16007"	48.21	31.39	80.58
	"Benewah County, ID"	"16009"	53.98	38.30	82.19
	"Bingham County, ID"	"16011"	54.75	36.73	83.36
	"Blaine County, ID"	"16013"	49.86	33.66	82.79
	"Boise County, ID"	"16015"	49.91	34.52	81.54
	"Bonner County, ID"	"16017"	51.80	35.50	81.80
	"Bonneville County, ID"	"16019"	50.27	33.50	82.17
	"Boundary County, ID"	"16021"	48.90	32.40	81.66
	"Butte County, ID"	"16023"	51.05	34.68	82.15
	"Camas County, ID"	"16025"	48.57	33.09	81.39
	"Canyon County, ID"	"16027"	63.53	46.29	87.22
	"Caribou County, ID"	"16029"	49.05	32.33	80.96
	"Cassia County, ID"	"16031"	55.30	37.93	83.06
	"Clark County, ID"	"16033"	48.85	32.51	81.75
	"Clearwater County, ID"	"16035"	52.59	36.86	83.00
	"Custer County, ID"	"16037"	43.55	26.38	79.98
	"Elmore County, ID"	"16039"	55.63	39.45	85.11
	"Franklin County, ID"	"16041"	52.68	36.00	82.11
	"Fremont County, ID"	"16043"	48.58	32.59	81.42
	"Gem County, ID"	"16045"	58.44	42.33	85.40
	"Gooding County, ID"	"16047"	59.04	41.09	85.83
	"Idaho County, ID"	"16049"	49.53	32.78	82.22
	"Jefferson County, ID"	"16051"	54.87	37.53	83.04
	"Jerome County, ID"	"16053"	59.97	40.90	85.84
	"Kootenai County, ID"	"16055"	54.02	37.72	82.37
	"Latah County, ID"	"16057"	55.48	39.79	83.51
	"Lemhi County, ID"	"16059"	45.49	27.21	80.22
	"Lewis County, ID"	"16061"	55.19	38.21	83.32
	"Lincoln County, ID"	"16063"	57.89	39.77	84.57
	"Madison County, ID"	"16065"	51.32	35.27	81.79
	"Minidoka County, ID"	"16067"	58.18	40.27	84.50
	"Nez Perce County, ID"	"16069"	58.67	41.38	85.24
	"Oneida County, ID"	"16071"	54.26	37.48	82.32
	"Owyhee County, ID"	"16073"	56.15	39.87	83.55
	"Payette County, ID"	"16075"	62.92	45.56	87.41
	"Power County, ID"	"16077"	55.21	37.82	83.14
	"Shoshone County, ID"	"16079"	49.92	34.68	80.87
	"Teton County, ID"	"16081"	46.94	30.69	80.22
	"Twin Falls County, ID"	"16083"	56.77	39.72	84.04
	"Valley County, ID"	"16085"	45.74	29.54	80.08
	"Washington County, ID"	"16087"	56.90	40.66	84.53
	"Adams County, IL"	"17001"	65.88	45.04	96.52
	"Alexander County, IL"	"17003"	69.37	49.91	98.12
	"Bond County, IL"	"17005"	66.42	47.71	97.52
	"Boone County, IL"	"17007"	59.42	40.92	93.34
	"Brown County, IL"	"17009"	66.08	45.45	96.80
	"Bureau County, IL"	"17011"	62.29	42.57	94.17
	"Calhoun County, IL"	"17013"	67.33	46.89	97.69
	"Carroll County, IL"	"17015"	60.60	41.01	93.74
	"Cass County, IL"	"17017"	65.97	45.82	96.84
	"Champaign County, IL"	"17019"	64.35	45.34	94.93
	"Christian County, IL"	"17021"	65.58	46.41	96.58
	"Clark County, IL"	"17023"	65.10	47.10	95.96
	"Clay County, IL"	"17025"	66.04	48.33	96.82
	"Clinton County, IL"	"17027"	66.96	48.08	97.72
	"Coles County, IL"	"17029"	65.18	46.42	95.96
	"Cook County, IL"	"17031"	59.47	42.82	93.83
	"Crawford County, IL"	"17033"	65.59	47.86	96.40
	"Cumberland County, IL"	"17035"	65.50	47.27	96.16
	"DeKalb County, IL"	"17037"	59.87	42.16	93.72
	"De Witt County, IL"	"17039"	64.60	45.35	95.52
	"Douglas County, IL"	"17041"	65.09	46.25	95.73
	"DuPage County, IL"	"17043"	59.31	42.24	93.70
	"Edgar County, IL"	"17045"	64.84	46.17	95.52
	"Edwards County, IL"	"17047"	66.54	48.01	96.49
	"Effingham County, IL"	"17049"	65.68	47.57	96.70
	"Fayette County, IL"	"17051"	65.93	47.37	97.02
	"Ford County, IL"	"17053"	63.28	44.92	94.32
	"Franklin County, IL"	"17055"	67.35	49.05	97.27
	"Fulton County, IL"	"17057"	65.21	44.69	95.96
	"Gallatin County, IL"	"17059"	67.75	49.25	96.83
	"Greene County, IL"	"17061"	66.76	46.64	97.44
	"Grundy County, IL"	"17063"	62.04	43.26	94.25
	"Hamilton County, IL"	"17065"	67.22	48.82	96.87
	"Hancock County, IL"	"17067"	65.45	44.57	95.96
	"Hardin County, IL"	"17069"	67.61	48.97	96.14
	"Henderson County, IL"	"17071"	64.35	43.95	95.34
	"Henry County, IL"	"17073"	62.56	42.57	94.32
	"Iroquois County, IL"	"17075"	62.96	44.20	94.31
	"Jackson County, IL"	"17077"	67.76	48.93	97.47
	"Jasper County, IL"	"17079"	65.62	47.92	96.57
	"Jefferson County, IL"	"17081"	66.64	48.86	97.22
	"Jersey County, IL"	"17083"	67.00	47.14	97.68
	"Jo Daviess County, IL"	"17085"	59.23	40.33	93.24
	"Johnson County, IL"	"17087"	67.61	49.66	96.85
	"Kane County, IL"	"17089"	59.42	42.09	93.54
	"Kankakee County, IL"	"17091"	62.16	43.52	94.15
	"Kendall County, IL"	"17093"	60.70	42.46	94.39
	"Knox County, IL"	"17095"	63.65	43.46	94.84
	"Lake County, IL"	"17097"	57.90	42.24	92.96
	"LaSalle County, IL"	"17099"	62.11	43.19	94.31
	"Lawrence County, IL"	"17101"	66.17	47.74	96.48
	"Lee County, IL"	"17103"	61.18	42.57	93.94
	"Livingston County, IL"	"17105"	62.99	44.38	94.39
	"Logan County, IL"	"17107"	65.22	45.56	96.20
	"McDonough County, IL"	"17109"	65.36	44.58	95.98
	"McHenry County, IL"	"17111"	58.64	41.04	92.98
	"McLean County, IL"	"17113"	63.75	45.19	94.71
	"Macon County, IL"	"17115"	65.00	45.77	95.92
	"Macoupin County, IL"	"17117"	66.21	46.62	97.24
	"Madison County, IL"	"17119"	67.03	47.89	97.95
	"Marion County, IL"	"17121"	66.14	48.27	97.05
	"Marshall County, IL"	"17123"	63.23	43.55	94.57
	"Mason County, IL"	"17125"	65.74	45.53	96.72
	"Massac County, IL"	"17127"	68.51	49.50	97.38
	"Menard County, IL"	"17129"	65.62	45.68	96.49
	"Mercer County, IL"	"17131"	63.21	43.08	94.78
	"Monroe County, IL"	"17133"	67.62	48.39	98.14
	"Montgomery County, IL"	"17135"	65.78	46.75	96.96
	"Morgan County, IL"	"17137"	66.04	45.92	96.75
	"Moultrie County, IL"	"17139"	65.26	46.29	96.46
	"Ogle County, IL"	"17141"	60.15	41.50	93.69
	"Peoria County, IL"	"17143"	64.01	43.84	95.19
	"Perry County, IL"	"17145"	67.30	48.27	97.54
	"Piatt County, IL"	"17147"	64.76	45.64	95.84
	"Pike County, IL"	"17149"	66.55	45.80	96.97
	"Pope County, IL"	"17151"	67.65	48.81	96.57
	"Pulaski County, IL"	"17153"	68.88	49.69	97.99
	"Putnam County, IL"	"17155"	62.79	43.08	94.50
	"Randolph County, IL"	"17157"	67.80	48.69	98.03
	"Richland County, IL"	"17159"	65.99	47.78	96.55
	"Rock Island County, IL"	"17161"	62.51	42.52	94.58
	"St. Clair County, IL"	"17163"	67.41	48.15	98.11
	"Saline County, IL"	"17165"	67.56	49.28	97.03
	"Sangamon County, IL"	"17167"	65.71	46.19	96.63
	"Schuyler County, IL"	"17169"	65.88	45.30	96.63
	"Scott County, IL"	"17171"	66.51	46.08	97.10
	"Shelby County, IL"	"17173"	65.48	46.60	96.52
	"Stark County, IL"	"17175"	63.08	42.99	94.62
	"Stephenson County, IL"	"17177"	59.24	40.35	93.16
	"Tazewell County, IL"	"17179"	64.75	44.66	95.65
	"Union County, IL"	"17181"	67.90	49.28	97.12
	"Vermilion County, IL"	"17183"	64.20	45.28	94.90
	"Wabash County, IL"	"17185"	66.60	48.16	96.47
	"Warren County, IL"	"17187"	64.07	43.71	94.87
	"Washington County, IL"	"17189"	67.08	48.15	97.57
	"Wayne County, IL"	"17191"	66.63	48.40	97.02
	"White County, IL"	"17193"	67.31	48.78	96.85
	"Whiteside County, IL"	"17195"	62.02	41.99	94.20
	"Will County, IL"	"17197"	60.96	42.76	94.05
	"Williamson County, IL"	"17199"	67.41	50.12	97.15
	"Winnebago County, IL"	"17201"	59.71	40.95	93.47
	"Woodford County, IL"	"17203"	63.68	44.04	94.75
	"Adams County, IN"	"18001"	61.54	44.73	93.15
	"Allen County, IN"	"18003"	60.72	44.02	93.12
	"Bartholomew County, IN"	"18005"	64.18	47.51	94.56
	"Benton County, IN"	"18007"	62.82	44.42	94.28
	"Blackford County, IN"	"18009"	62.06	44.79	92.81
	"Boone County, IN"	"18011"	62.83	45.57	93.62
	"Brown County, IN"	"18013"	64.09	46.90	94.33
	"Carroll County, IN"	"18015"	62.57	44.65	94.39
	"Cass County, IN"	"18017"	62.20	44.78	93.73
	"Clark County, IN"	"18019"	65.68	48.94	94.94
	"Clay County, IN"	"18021"	64.65	46.91	95.54
	"Clinton County, IN"	"18023"	62.66	45.24	93.91
	"Crawford County, IN"	"18025"	66.28	48.76	94.75
	"Daviess County, IN"	"18027"	66.02	48.76	96.20
	"Dearborn County, IN"	"18029"	63.95	46.67	94.59
	"Decatur County, IN"	"18031"	63.39	46.82	93.71
	"De Kalb County, IN"	"18033"	59.37	42.89	93.07
	"Delaware County, IN"	"18035"	62.65	45.44	92.72
	"Dubois County, IN"	"18037"	66.62	49.06	95.50
	"Elkhart County, IN"	"18039"	59.42	42.67	92.51
	"Fayette County, IN"	"18041"	63.14	45.77	93.67
	"Floyd County, IN"	"18043"	66.13	48.88	94.89
	"Fountain County, IN"	"18045"	64.02	45.35	95.07
	"Franklin County, IN"	"18047"	63.28	46.21	94.03
	"Fulton County, IN"	"18049"	61.71	44.13	93.42
	"Gibson County, IN"	"18051"	66.67	48.36	96.29
	"Grant County, IN"	"18053"	62.28	44.86	92.74
	"Greene County, IN"	"18055"	65.26	47.87	95.70
	"Hamilton County, IN"	"18057"	63.17	45.65	93.59
	"Hancock County, IN"	"18059"	63.27	45.92	93.33
	"Harrison County, IN"	"18061"	66.34	48.91	94.87
	"Hendricks County, IN"	"18063"	63.30	46.21	94.08
	"Henry County, IN"	"18065"	62.69	45.98	92.75
	"Howard County, IN"	"18067"	62.54	44.96	93.37
	"Huntington County, IN"	"18069"	61.70	44.55	93.12
	"Jackson County, IN"	"18071"	65.08	47.77	94.90
	"Jasper County, IN"	"18073"	61.79	43.51	93.98
	"Jay County, IN"	"18075"	61.94	44.97	93.02
	"Jefferson County, IN"	"18077"	64.48	48.24	94.25
	"Jennings County, IN"	"18079"	64.32	47.93	94.29
	"Johnson County, IN"	"18081"	63.60	46.77	94.28
	"Knox County, IN"	"18083"	66.24	48.37	96.43
	"Kosciusko County, IN"	"18085"	60.78	43.45	92.88
	"Lagrange County, IN"	"18087"	58.96	42.13	92.44
	"Lake County, IN"	"18089"	60.77	43.15	93.86
	"La Porte County, IN"	"18091"	60.00	43.37	93.27
	"Lawrence County, IN"	"18093"	65.19	47.53	94.92
	"Madison County, IN"	"18095"	62.90	45.43	93.17
	"Marion County, IN"	"18097"	63.50	46.35	94.09
	"Marshall County, IN"	"18099"	60.83	43.63	93.27
	"Martin County, IN"	"18101"	65.92	48.52	95.48
	"Miami County, IN"	"18103"	62.05	44.56	93.27
	"Monroe County, IN"	"18105"	64.24	46.46	94.84
	"Montgomery County, IN"	"18107"	63.56	45.42	94.37
	"Morgan County, IN"	"18109"	63.93	46.65	94.69
	"Newton County, IN"	"18111"	62.33	43.79	94.02
	"Noble County, IN"	"18113"	59.48	42.51	92.31
	"Ohio County, IN"	"18115"	64.32	47.21	94.60
	"Orange County, IN"	"18117"	65.86	48.24	94.73
	"Owen County, IN"	"18119"	64.37	47.10	95.20
	"Parke County, IN"	"18121"	64.41	46.69	95.16
	"Perry County, IN"	"18123"	66.93	49.30	95.34
	"Pike County, IN"	"18125"	66.45	48.35	96.02
	"Porter County, IN"	"18127"	60.54	43.04	93.72
	"Posey County, IN"	"18129"	67.33	48.94	96.64
	"Pulaski County, IN"	"18131"	62.03	43.93	93.91
	"Putnam County, IN"	"18133"	63.77	46.75	94.48
	"Randolph County, IN"	"18135"	62.14	45.67	92.48
	"Ripley County, IN"	"18137"	63.61	47.12	93.77
	"Rush County, IN"	"18139"	63.03	45.69	93.24
	"St. Joseph County, IN"	"18141"	59.83	43.45	92.73
	"Scott County, IN"	"18143"	65.27	48.62	94.80
	"Shelby County, IN"	"18145"	63.62	46.65	94.03
	"Spencer County, IN"	"18147"	67.12	48.92	96.02
	"Starke County, IN"	"18149"	61.10	43.48	93.87
	"Steuben County, IN"	"18151"	58.26	41.83	92.52
	"Sullivan County, IN"	"18153"	65.35	48.00	96.16
	"Switzerland County, IN"	"18155"	64.55	47.81	94.45
	"Tippecanoe County, IN"	"18157"	63.10	44.85	94.66
	"Tipton County, IN"	"18159"	62.73	45.24	93.38
	"Union County, IN"	"18161"	62.79	45.79	93.50
	"Vanderburgh County, IN"	"18163"	67.07	48.85	96.00
	"Vermillion County, IN"	"18165"	64.78	46.25	95.45
	"Vigo County, IN"	"18167"	65.08	47.10	96.04
	"Wabash County, IN"	"18169"	62.05	44.59	93.15
	"Warren County, IN"	"18171"	63.66	44.99	94.85
	"Warrick County, IN"	"18173"	67.07	48.85	96.13
	"Washington County, IN"	"18175"	65.12	47.91	93.98
	"Wayne County, IN"	"18177"	62.47	46.14	92.94
	"Wells County, IN"	"18179"	61.54	44.66	93.13
	"White County, IN"	"18181"	62.45	44.31	94.29
	"Whitley County, IN"	"18183"	60.38	43.34	92.85
	"Adair County, IA"	"19001"	61.91	41.83	93.67
	"Adams County, IA"	"19003"	63.06	42.79	94.07
	"Allamakee County, IA"	"19005"	57.28	38.33	92.40
	"Appanoose County, IA"	"19007"	64.02	42.64	95.21
	"Audubon County, IA"	"19009"	61.48	40.58	93.24
	"Benton County, IA"	"19011"	61.17	41.37	93.94
	"Black Hawk County, IA"	"19013"	60.24	40.15	93.36
	"Boone County, IA"	"19015"	60.73	41.16	93.90
	"Bremer County, IA"	"19017"	59.22	39.58	92.72
	"Buchanan County, IA"	"19019"	59.73	40.20	93.09
	"Buena Vista County, IA"	"19021"	59.60	38.73	93.30
	"Butler County, IA"	"19023"	59.53	39.61	93.10
	"Calhoun County, IA"	"19025"	60.37	40.20	93.58
	"Carroll County, IA"	"19027"	61.10	40.31	93.35
	"Cass County, IA"	"19029"	62.91	41.93	94.14
	"Cedar County, IA"	"19031"	61.41	41.81	94.04
	"Cerro Gordo County, IA"	"19033"	57.98	39.30	92.37
	"Cherokee County, IA"	"19035"	59.77	37.93	93.82
	"Chickasaw County, IA"	"19037"	57.78	38.82	91.94
	"Clarke County, IA"	"19039"	62.71	42.96	94.30
	"Clay County, IA"	"19041"	58.15	37.66	93.13
	"Clayton County, IA"	"19043"	58.31	38.90	92.61
	"Clinton County, IA"	"19045"	61.28	41.74	94.27
	"Crawford County, IA"	"19047"	61.53	40.13	93.21
	"Dallas County, IA"	"19049"	61.78	41.38	94.61
	"Davis County, IA"	"19051"	64.17	43.57	95.45
	"Decatur County, IA"	"19053"	63.58	42.68	95.01
	"Delaware County, IA"	"19055"	59.16	39.69	92.93
	"Des Moines County, IA"	"19057"	63.90	43.48	95.07
	"Dickinson County, IA"	"19059"	56.97	38.22	92.36
	"Dubuque County, IA"	"19061"	58.92	39.58	92.93
	"Emmet County, IA"	"19063"	56.87	37.39	93.29
	"Fayette County, IA"	"19065"	57.91	39.48	92.13
	"Floyd County, IA"	"19067"	58.47	39.64	92.41
	"Franklin County, IA"	"19069"	58.73	39.80	92.62
	"Fremont County, IA"	"19071"	65.09	43.16	95.34
	"Greene County, IA"	"19073"	61.05	41.25	93.74
	"Grundy County, IA"	"19075"	59.92	39.78	93.10
	"Guthrie County, IA"	"19077"	61.50	41.33	93.71
	"Hamilton County, IA"	"19079"	59.75	40.95	93.09
	"Hancock County, IA"	"19081"	57.86	38.89	92.67
	"Hardin County, IA"	"19083"	59.46	40.40	93.06
	"Harrison County, IA"	"19085"	63.33	41.48	94.19
	"Henry County, IA"	"19087"	64.01	43.21	95.49
	"Howard County, IA"	"19089"	56.31	37.64	91.10
	"Humboldt County, IA"	"19091"	59.29	39.76	93.39
	"Ida County, IA"	"19093"	60.64	38.94	93.64
	"Iowa County, IA"	"19095"	62.13	42.34	94.24
	"Jackson County, IA"	"19097"	60.17	41.25	93.76
	"Jasper County, IA"	"19099"	61.85	41.58	94.53
	"Jefferson County, IA"	"19101"	63.42	42.85	95.48
	"Johnson County, IA"	"19103"	62.29	42.51	94.43
	"Jones County, IA"	"19105"	60.19	41.19	93.54
	"Keokuk County, IA"	"19107"	62.88	43.06	94.72
	"Kossuth County, IA"	"19109"	57.79	38.69	93.03
	"Lee County, IA"	"19111"	64.93	43.91	95.95
	"Linn County, IA"	"19113"	61.00	41.61	93.91
	"Louisa County, IA"	"19115"	63.39	43.11	95.07
	"Lucas County, IA"	"19117"	62.95	42.16	94.71
	"Lyon County, IA"	"19119"	58.85	37.90	93.29
	"Madison County, IA"	"19121"	62.22	42.09	94.28
	"Mahaska County, IA"	"19123"	63.01	42.61	94.93
	"Marion County, IA"	"19125"	63.03	42.34	95.30
	"Marshall County, IA"	"19127"	60.54	40.50	93.70
	"Mills County, IA"	"19129"	64.52	43.19	94.97
	"Mitchell County, IA"	"19131"	57.04	38.31	91.65
	"Monona County, IA"	"19133"	62.80	40.54	94.04
	"Monroe County, IA"	"19135"	63.48	42.46	94.99
	"Montgomery County, IA"	"19137"	63.78	42.68	94.71
	"Muscatine County, IA"	"19139"	62.65	42.45	94.63
	"O'Brien County, IA"	"19141"	58.75	38.18	93.37
	"Osceola County, IA"	"19143"	57.20	38.47	92.28
	"Page County, IA"	"19145"	64.20	42.90	94.84
	"Palo Alto County, IA"	"19147"	58.23	38.38	93.24
	"Plymouth County, IA"	"19149"	60.65	38.84	94.13
	"Pocahontas County, IA"	"19151"	59.45	39.51	93.31
	"Polk County, IA"	"19153"	61.90	41.52	94.79
	"Pottawattamie County, IA"	"19155"	63.64	42.29	94.41
	"Poweshiek County, IA"	"19157"	61.90	41.68	94.26
	"Ringgold County, IA"	"19159"	63.22	43.14	94.28
	"Sac County, IA"	"19161"	60.68	39.48	93.55
	"Scott County, IA"	"19163"	62.10	42.07	94.32
	"Shelby County, IA"	"19165"	62.44	41.00	93.65
	"Sioux County, IA"	"19167"	59.65	37.87	93.99
	"Story County, IA"	"19169"	60.63	40.81	94.03
	"Tama County, IA"	"19171"	60.97	40.89	93.81
	"Taylor County, IA"	"19173"	63.42	43.20	94.24
	"Union County, IA"	"19175"	62.46	42.63	93.86
	"Van Buren County, IA"	"19177"	64.42	43.57	95.75
	"Wapello County, IA"	"19179"	63.59	43.31	95.26
	"Warren County, IA"	"19181"	62.63	41.95	95.03
	"Washington County, IA"	"19183"	62.95	42.58	95.05
	"Wayne County, IA"	"19185"	63.42	42.08	94.91
	"Webster County, IA"	"19187"	60.13	40.56	93.39
	"Winnebago County, IA"	"19189"	57.13	38.19	92.32
	"Winneshiek County, IA"	"19191"	56.95	38.36	91.74
	"Woodbury County, IA"	"19193"	61.63	39.52	94.00
	"Worth County, IA"	"19195"	57.02	38.14	91.97
	"Wright County, IA"	"19197"	58.88	40.00	92.96
	"Allen County, KS"	"20001"	71.32	47.11	98.18
	"Anderson County, KS"	"20003"	70.29	47.15	97.70
	"Atchison County, KS"	"20005"	67.48	45.82	96.29
	"Barber County, KS"	"20007"	74.23	49.41	96.21
	"Barton County, KS"	"20009"	71.16	47.13	95.36
	"Bourbon County, KS"	"20011"	71.35	47.64	98.59
	"Brown County, KS"	"20013"	66.84	44.93	95.64
	"Butler County, KS"	"20015"	71.35	48.97	96.57
	"Chase County, KS"	"20017"	70.16	47.35	96.74
	"Chautauqua County, KS"	"20019"	73.60	48.84	98.35
	"Cherokee County, KS"	"20021"	72.14	49.23	98.50
	"Cheyenne County, KS"	"20023"	67.92	43.67	90.61
	"Clark County, KS"	"20025"	74.67	48.29	95.03
	"Clay County, KS"	"20027"	68.71	45.00	96.18
	"Cloud County, KS"	"20029"	68.28	44.88	95.58
	"Coffey County, KS"	"20031"	70.59	48.01	97.60
	"Comanche County, KS"	"20033"	74.23	49.17	95.66
	"Cowley County, KS"	"20035"	72.99	48.82	97.23
	"Crawford County, KS"	"20037"	71.59	48.31	98.46
	"Decatur County, KS"	"20039"	68.92	45.05	92.18
	"Dickinson County, KS"	"20041"	69.91	46.86	96.66
	"Doniphan County, KS"	"20043"	67.03	44.25	95.99
	"Douglas County, KS"	"20045"	69.12	45.53	97.39
	"Edwards County, KS"	"20047"	72.43	47.74	95.02
	"Elk County, KS"	"20049"	72.64	48.46	97.96
	"Ellis County, KS"	"20051"	70.77	45.55	94.26
	"Ellsworth County, KS"	"20053"	70.52	46.66	95.76
	"Finney County, KS"	"20055"	72.72	46.14	92.79
	"Ford County, KS"	"20057"	72.66	47.46	94.28
	"Franklin County, KS"	"20059"	69.70	46.96	97.61
	"Geary County, KS"	"20061"	69.22	46.09	96.55
	"Gove County, KS"	"20063"	71.02	45.69	92.80
	"Graham County, KS"	"20065"	69.96	45.76	93.07
	"Grant County, KS"	"20067"	73.69	46.58	92.25
	"Gray County, KS"	"20069"	72.94	46.26	93.29
	"Greeley County, KS"	"20071"	69.84	45.25	90.58
	"Greenwood County, KS"	"20073"	71.42	48.01	97.74
	"Hamilton County, KS"	"20075"	71.60	46.02	91.16
	"Harper County, KS"	"20077"	74.65	48.80	97.05
	"Harvey County, KS"	"20079"	71.87	47.92	96.35
	"Haskell County, KS"	"20081"	73.17	46.76	92.58
	"Hodgeman County, KS"	"20083"	72.74	46.70	94.28
	"Jackson County, KS"	"20085"	67.66	46.06	96.20
	"Jefferson County, KS"	"20087"	68.21	45.76	96.69
	"Jewell County, KS"	"20089"	67.76	44.21	94.52
	"Johnson County, KS"	"20091"	68.66	45.40	97.09
	"Kearny County, KS"	"20093"	72.31	46.19	91.75
	"Kingman County, KS"	"20095"	73.20	48.50	96.18
	"Kiowa County, KS"	"20097"	72.88	48.80	95.02
	"Labette County, KS"	"20099"	72.48	49.33	98.45
	"Lane County, KS"	"20101"	71.60	46.46	92.84
	"Leavenworth County, KS"	"20103"	68.50	45.43	97.06
	"Lincoln County, KS"	"20105"	70.09	46.16	95.87
	"Linn County, KS"	"20107"	70.41	46.57	98.08
	"Logan County, KS"	"20109"	70.48	45.33	91.78
	"Lyon County, KS"	"20111"	70.07	46.90	97.31
	"McPherson County, KS"	"20113"	70.98	47.62	96.22
	"Marion County, KS"	"20115"	70.53	48.17	96.37
	"Marshall County, KS"	"20117"	67.13	44.38	95.12
	"Meade County, KS"	"20119"	74.12	47.99	93.54
	"Miami County, KS"	"20121"	69.38	45.90	97.46
	"Mitchell County, KS"	"20123"	69.16	45.66	95.34
	"Montgomery County, KS"	"20125"	73.38	49.33	98.60
	"Morris County, KS"	"20127"	69.21	46.40	96.67
	"Morton County, KS"	"20129"	73.65	47.85	91.57
	"Nemaha County, KS"	"20131"	66.66	44.83	95.31
	"Neosho County, KS"	"20133"	72.05	48.05	98.52
	"Ness County, KS"	"20135"	71.95	46.25	94.06
	"Norton County, KS"	"20137"	69.12	45.12	93.01
	"Osage County, KS"	"20139"	69.56	47.36	97.23
	"Osborne County, KS"	"20141"	69.53	45.70	94.61
	"Ottawa County, KS"	"20143"	69.80	45.77	96.44
	"Pawnee County, KS"	"20145"	72.15	46.64	94.97
	"Phillips County, KS"	"20147"	69.24	44.52	93.66
	"Pottawatomie County, KS"	"20149"	68.05	45.46	96.19
	"Pratt County, KS"	"20151"	72.54	48.37	95.50
	"Rawlins County, KS"	"20153"	68.62	44.29	91.06
	"Reno County, KS"	"20155"	72.43	47.48	96.20
	"Republic County, KS"	"20157"	67.28	44.56	94.69
	"Rice County, KS"	"20159"	71.57	46.86	96.00
	"Riley County, KS"	"20161"	68.41	45.37	96.07
	"Rooks County, KS"	"20163"	70.25	45.86	93.90
	"Rush County, KS"	"20165"	71.75	45.90	94.83
	"Russell County, KS"	"20167"	70.72	46.85	95.02
	"Saline County, KS"	"20169"	70.73	46.64	96.75
	"Scott County, KS"	"20171"	71.29	46.50	92.04
	"Sedgwick County, KS"	"20173"	72.83	47.39	96.67
	"Seward County, KS"	"20175"	74.34	47.68	92.65
	"Shawnee County, KS"	"20177"	68.90	46.73	97.06
	"Sheridan County, KS"	"20179"	69.70	45.89	92.19
	"Sherman County, KS"	"20181"	67.70	44.43	90.01
	"Smith County, KS"	"20183"	68.80	44.50	94.21
	"Stafford County, KS"	"20185"	72.30	47.10	95.49
	"Stanton County, KS"	"20187"	73.06	47.52	91.56
	"Stevens County, KS"	"20189"	74.12	47.68	92.19
	"Sumner County, KS"	"20191"	73.93	48.94	97.19
	"Thomas County, KS"	"20193"	68.88	45.09	91.00
	"Trego County, KS"	"20195"	71.21	45.62	93.64
	"Wabaunsee County, KS"	"20197"	68.62	46.01	96.54
	"Wallace County, KS"	"20199"	68.87	45.00	90.33
	"Washington County, KS"	"20201"	67.27	44.12	95.00
	"Wichita County, KS"	"20203"	70.58	46.04	91.37
	"Wilson County, KS"	"20205"	72.66	47.77	98.42
	"Woodson County, KS"	"20207"	71.72	47.33	98.27
